Input	Output
4779  2.25440313111546      0.08196721311475504	4780  2.25440313111546      0.07894736842105299
4780  2.25440313111546      0.07894736842105299	4781  2.25440313111546      0.07894736842105299
4781  2.25440313111546      0.07894736842105299	4782  2.25440313111546      0.07284768211920443
4782  2.25440313111546      0.07284768211920443	4783  2.25440313111546      0.07590759075907565
4783  2.25440313111546      0.07590759075907565	4784  2.25440313111546      0.07590759075907565
4784  2.25440313111546      0.07590759075907565	4785  2.25440313111546      0.07284768211920443
4785  2.25440313111546      0.07284768211920443	4786  2.25440313111546      0.06578947368421009
4786  2.25440313111546      0.06578947368421009	4787  2.25440313111546      0.06930693069306781
4787  2.25440313111546      0.06930693069306781	4788  2.25440313111546      0.06578947368421009
4788  2.25440313111546      0.06578947368421009	4789  2.25440313111546      0.06578947368421009
4789  2.25440313111546      0.06578947368421009	4790  2.25440313111546      0.06578947368421009
4790  2.25440313111546      0.06578947368421009	4791  2.25440313111546      0.05960264900662247
4791  2.25440313111546      0.05960264900662247	4792  2.25440313111546     0.056105610561055355
4792  2.25440313111546     0.056105610561055355	4793  2.25440313111546     0.056105610561055355
4793  2.25440313111546     0.056105610561055355	4794  2.25440313111546     0.056105610561055355
4794  2.25440313111546     0.056105610561055355	4795  2.25440313111546      0.05298013245032975
4795  2.25440313111546      0.05298013245032975	4796  2.25440313111546      0.05298013245032975
4796  2.25440313111546      0.05298013245032975	4797  2.25440313111546      0.03973509933774929
4797  2.25440313111546      0.03973509933774929	4798  2.25440313111546      0.03973509933774929
4798  2.25440313111546      0.03973509933774929	4799  2.25440313111546      0.03630363036303657
4799  2.25440313111546      0.03630363036303657	4800  2.25440313111546      0.03973509933774929
4800  2.25440313111546      0.03973509933774929	4801  2.25440313111546      0.03973509933774929
4801  2.25440313111546      0.03973509933774929	4802  2.25440313111546       0.0198675496688731
4802  2.25440313111546       0.0198675496688731	4803  2.25440313111546     0.016501650165014765
4803  2.25440313111546     0.016501650165014765	4804  2.25440313111546     0.016501650165014765
4804  2.25440313111546     0.016501650165014765	4805  2.25440313111546     0.016501650165014765
4805  2.25440313111546     0.016501650165014765	4806  2.25440313111546     0.009836065573769101
4806  2.25440313111546     0.009836065573769101	4807  2.25440313111546     0.009836065573769101
4807  2.25440313111546     0.009836065573769101	4808  2.25440313111546    0.0032786885245908916
4808  2.25440313111546    0.0032786885245908916	4809  2.25440313111546    0.0032786885245908916
4809  2.25440313111546    0.0032786885245908916	4810  2.25440313111546     0.006578947368420714
4810  2.25440313111546     0.006578947368420714	4811  2.25440313111546    0.0032786885245908916
4811  2.25440313111546    0.0032786885245908916	4812  2.25440313111546    0.0032786885245908916
4812  2.25440313111546    0.0032786885245908916	4813  2.28962818003914     0.019867549668874718
4813  2.28962818003914     0.019867549668874718	4814  2.28962818003914     0.016501650165016382
4814  2.28962818003914     0.016501650165016382	4815  2.28962818003914     0.016393442622949072
4815  2.28962818003914     0.016393442622949072	4816  2.28962818003914     0.016501650165016382
4816  2.28962818003914     0.016501650165016382	4817  2.28962818003914     0.013157894736841404
4817  2.28962818003914     0.013157894736841404	4818  2.28962818003914     0.013245033112582018
4818  2.28962818003914     0.013245033112582018	4819  2.25440313111546     0.016393442622949072
4819  2.25440313111546     0.016393442622949072	4820  2.25440313111546     0.016393442622949072
4820  2.25440313111546     0.016393442622949072	4821  2.25440313111546     0.016393442622949072
4821  2.25440313111546     0.016393442622949072	4822  2.25440313111546     0.016393442622949072
4822  2.25440313111546     0.016393442622949072	4823  2.25440313111546     0.019736842105262067
4823  2.25440313111546     0.019736842105262067	4824  2.25440313111546     0.016393442622949072
4824  2.25440313111546     0.016393442622949072	4825  2.25440313111546     0.016393442622949072
4825  2.25440313111546     0.016393442622949072	4826  2.25440313111546     0.016393442622949072
4826  2.25440313111546     0.016393442622949072	4827  2.25440313111546      0.03267973856209124
4827  2.25440313111546      0.03267973856209124	4828  2.25440313111546     0.036065573770492215
4828  2.25440313111546     0.036065573770492215	4829  2.25440313111546     0.036065573770492215
4829  2.25440313111546     0.036065573770492215	4830  2.25440313111546     0.036065573770492215
4830  2.25440313111546     0.036065573770492215	4831  2.25440313111546      0.03947368421052563
4831  2.25440313111546      0.03947368421052563	4832  2.25440313111546      0.04575163398692703
4832  2.25440313111546      0.04575163398692703	4833  2.25440313111546      0.04575163398692703
4833  2.25440313111546      0.04575163398692703	4834  2.25440313111546      0.04575163398692703
4834  2.25440313111546      0.04575163398692703	4835  2.25440313111546     0.052631578947368717
4835  2.25440313111546     0.052631578947368717	4836  2.25440313111546      0.05573770491803208
4836  2.25440313111546      0.05573770491803208	4837  2.25440313111546      0.05573770491803208
4837  2.25440313111546      0.05573770491803208	4838  2.25440313111546      0.05573770491803208
4838  2.25440313111546      0.05573770491803208	4839  2.25440313111546     0.061889250814332775
4839  2.25440313111546     0.061889250814332775	4840  2.25440313111546       0.0653594771241825
4840  2.25440313111546       0.0653594771241825	4841  2.25440313111546       0.0653594771241825
4841  2.25440313111546       0.0653594771241825	4842  2.25440313111546      0.06885245901639186
4842  2.25440313111546      0.06885245901639186	4843  2.28962818003914     0.006578947368420715
4843  2.28962818003914     0.006578947368420715	4844  2.28962818003914     0.006578947368420715
4844  2.28962818003914     0.006578947368420715	4845  2.28962818003914     0.006578947368420715
4845  2.28962818003914     0.006578947368420715	4846  2.28962818003914     0.006578947368420715
4846  2.28962818003914     0.006578947368420715	4847  2.28962818003914     0.026315789473684348
4847  2.28962818003914     0.026315789473684348	4848  2.28962818003914     0.026315789473684348
4848  2.28962818003914     0.026315789473684348	4849  2.28962818003914     0.029702970297030513
4849  2.28962818003914     0.029702970297030513	4850  2.28962818003914      0.02950819672131058
4850  2.28962818003914      0.02950819672131058	4851  2.28962818003914     0.036303630363036764
4851  2.28962818003914     0.036303630363036764	4852  2.28962818003914     0.036303630363036764
4852  2.28962818003914     0.036303630363036764	4853  2.28962818003914     0.036303630363036764
4853  2.28962818003914     0.036303630363036764	4854  2.28962818003914     0.036303630363036764
4854  2.28962818003914     0.036303630363036764	4855  2.23679060665362      0.03921568627451084
4855  2.23679060665362      0.03921568627451084	4856  2.23679060665362     0.042904290429042896
4856  2.23679060665362     0.042904290429042896	4857   2.1839530332681      0.03921568627451084
4857   2.1839530332681      0.03921568627451084	4858   2.1839530332681     0.042622950819672066
4858   2.1839530332681     0.042622950819672066	4859   2.1839530332681     0.042622950819672066
4859   2.1839530332681     0.042622950819672066	4860   2.1839530332681      0.04545454545454448
4860   2.1839530332681      0.04545454545454448	4861   2.1839530332681      0.04885993485341812
4861   2.1839530332681      0.04885993485341812	4862   2.1839530332681     0.052631578947368717
4862   2.1839530332681     0.052631578947368717	4863   2.1839530332681      0.05573770491803208
4863   2.1839530332681      0.05573770491803208	4864   2.1839530332681      0.05537459283387545
4864   2.1839530332681      0.05537459283387545	4865   2.1839530332681      0.05882352941176462
4865   2.1839530332681      0.05882352941176462	4866   2.1839530332681       0.0653594771241825
4866   2.1839530332681       0.0653594771241825	4867   2.1839530332681      0.06840390879478836
4867   2.1839530332681      0.06840390879478836	4868   2.1839530332681      0.06840390879478836
4868   2.1839530332681      0.06840390879478836	4869   2.1839530332681      0.07443365695792858
4869   2.1839530332681      0.07443365695792858	4870   2.1839530332681      0.07792207792207839
4870   2.1839530332681      0.07792207792207839	4871  2.25440313111546      0.08143322475569974
4871  2.25440313111546      0.08143322475569974	4872  2.25440313111546      0.08496732026143794
4872  2.25440313111546      0.08496732026143794	4873  2.25440313111546      0.08496732026143794
4873  2.25440313111546      0.08496732026143794	4874  2.25440313111546      0.08496732026143794
4874  2.25440313111546      0.08496732026143794	4875  2.25440313111546      0.09150326797385568
4875  2.25440313111546      0.09150326797385568	4876  2.25440313111546      0.09508196721311493
4876  2.25440313111546      0.09508196721311493	4877  2.25440313111546      0.09508196721311493
4877  2.25440313111546      0.09508196721311493	4878  2.25440313111546       0.1009771986970682
4878  2.25440313111546       0.1009771986970682	4879  2.25440313111546      0.10457516339869331
4879  2.25440313111546      0.10457516339869331	4880  2.25440313111546      0.10457516339869331
4880  2.25440313111546      0.10457516339869331	4881  2.25440313111546      0.10163934426229508
4881  2.25440313111546      0.10163934426229508	4882  2.25440313111546      0.10457516339869331
4882  2.25440313111546      0.10457516339869331	4883  2.25440313111546      0.10457516339869331
4883  2.25440313111546      0.10457516339869331	4884  2.25440313111546      0.10457516339869331
4884  2.25440313111546      0.10457516339869331	4885  2.25440313111546      0.10457516339869331
4885  2.25440313111546      0.10457516339869331	4886  2.25440313111546      0.10819672131147665
4886  2.25440313111546      0.10819672131147665	4887  2.25440313111546      0.10819672131147665
4887  2.25440313111546      0.10819672131147665	4888  2.25440313111546      0.11111111111111294
4888  2.25440313111546      0.11111111111111294	4889  2.25440313111546      0.10819672131147665
4889  2.25440313111546      0.10819672131147665	4890  2.25440313111546      0.11184210526315988
4890  2.25440313111546      0.11184210526315988	4891  2.25440313111546       0.0723684210526307
4891  2.25440313111546       0.0723684210526307	4892  2.25440313111546       0.0754098360655735
4892  2.25440313111546       0.0754098360655735	4893  2.25440313111546       0.0754098360655735
4893  2.25440313111546       0.0754098360655735	4894  2.25440313111546      0.07894736842105299
4894  2.25440313111546      0.07894736842105299	4895  2.25440313111546      0.07894736842105299
4895  2.25440313111546      0.07894736842105299	4896  2.21917808219178      0.08496732026143794
4896  2.21917808219178      0.08496732026143794	4897  2.20156555772994       0.1241830065359488
4897  2.20156555772994       0.1241830065359488	4898  2.20156555772994      0.11764705882352919
4898  2.20156555772994      0.11764705882352919	4899  2.20156555772994      0.11475409836065495
4899  2.20156555772994      0.11475409836065495	4900  2.20156555772994      0.11475409836065495
4900  2.20156555772994      0.11475409836065495	4901  2.20156555772994      0.11111111111110959
4901  2.20156555772994      0.11111111111110959	4902  2.20156555772994      0.11111111111110959
4902  2.20156555772994      0.11111111111110959	4903  2.20156555772994      0.10819672131147484
4903  2.20156555772994      0.10819672131147484	4904  2.20156555772994      0.10819672131147484
4904  2.20156555772994      0.10819672131147484	4905  2.20156555772994      0.10819672131147484
